"nodeA","nodeB","nodeC","rel1","rel2","rel3"
"syndrome d'immunodéficience acquise","micro-organisme","maladie","6","","6"
"sida","micro-organisme","maladie","6","","6"
"bacille","=bacteria=","maladie","6","",""
"bacille","organisme unicellulaire","maladie","6","",""
"Mathieu Lafourcade","vieux","maladie","42","","42"
"bacille","organisme microscopique","maladie","6","",""
"SIDA","organisme microscopique","maladie","6","","6"
"syndrome d'immunodéficience acquise","organisme microscopique","maladie","6","","6"
"sida","organisme microscopique","maladie","6","","6"
"SIDA","pancréatite aigüe","maladie","","6","6"
"SIDA","pancréatite aiguë idiopathique","maladie","","6","6"
"bacille","=botulism=","maladie","","6",""
"bacille","tuberculosis","maladie","","6",""
"SIDA","pathologie infectieuse","maladie","6","6","6"
"syndrome d'immunodéficience acquise","pathologie infectieuse","maladie","6","6","6"
"sida","pathologie infectieuse","maladie","6","6","6"
"bacille","=tuberculosis=","maladie","","6",""
"SIDA","=infectious disorder=","maladie","6","6","6"
"syndrome d'immunodéficience acquise","=infectious disorder=","maladie","6","6","6"
"sida","=infectious disorder=","maladie","6","6","6"
"IA","=endocarditis=","maladie","42","6","6"
"bacille","=plague=","maladie","","6",""
"IA","valvulopathie cardiaque","maladie","6","6","6"
"IA","Maladie de Bouillaud","maladie","42","6","6"
"card","IA","maladie","9","6","6"
"=card=","IA","maladie","9","6","6"
"malformation cardiaque","IA","maladie","9","6","6"
"section 3-1 maladies cardiaques","IA","maladie","9","6","6"
"=heart malformation=","IA","maladie","9","6","6"
"anomalie du coeur","IA","maladie","9","6","6"
"pathologie du coeur","IA","maladie","9","6","6"
"maladies du coeur","IA","maladie","9","6","6"
"=heart diseases=","IA","maladie","9","6","6"
"affections cardiaques","IA","maladie","9","6","6"
"cardiopathies","IA","maladie","9","6","6"
"maladies cardiaques","IA","maladie","9","6","6"
"anomalie cardiaque","IA","maladie","9","6","6"
"=heart disorder=","IA","maladie","9","6","6"
"affection cardiaque","IA","maladie","9","6","6"
"=endocarditis=","IA","maladie","","6","6"
"maladie du coeur","IA","maladie","9","6","6"
"maladie cardiaque non précisée","IA","maladie","9","6","6"
"Maladie de Bouillaud","IA","maladie","","6","6"
"dystrophie","IA","maladie","","6","6"
"maladie de Bouillaud","IA","maladie","","6","6"
"trouble cardiaque","IA","maladie","9","6","6"
"insuffisance cardiaque","IA","maladie","42","6","6"
"maladie cardiaque","IA","maladie","9","6","6"
"endocardite","IA","maladie","","6","6"
"cardiopathie","IA","maladie","9","6","6"
"rhumatisme articulaire aigu","IA","maladie","","6","6"
"SIDA","IST","maladie","6","6","6"
"syndrome d'immunodéficience acquise","IST","maladie","6","6","6"
"sida","IST","maladie","6","6","6"
"SIDA","infection à virus lents","maladie","6","6","6"
"SIDA","infection à virus à ARN","maladie","6","6","6"
"SIDA","grave maladie","maladie","6","6","6"
"syndrome d'immunodéficience acquise","grave maladie","maladie","6","6","6"
"sida","grave maladie","maladie","6","6","6"
"SIDA","infection sexuellement transmissible","maladie","6","6","6"
"syndrome d'immunodéficience acquise","infection sexuellement transmissible","maladie","6","6","6"
"sida","infection sexuellement transmissible","maladie","6","6","6"
"SIDA","virose","maladie","6","6","6"
"syndrome d'immunodéficience acquise","virose","maladie","6","6","6"
"sida","virose","maladie","6","6","6"
"IA","maladie valvulaire cardiaque","maladie","6","6","6"
"SIDA","virus de l'immunodéficience humaine","maladie","42","6","6"
"syndrome d'immunodéficience acquise","virus de l'immunodéficience humaine","maladie","42","6","6"
"syndrome d'immunodéficience acquise","virus de l'immunodéficience humaine","maladie","6","6","6"
"sida","virus de l'immunodéficience humaine","maladie","42","6","6"
"sida","virus de l'immunodéficience humaine","maladie","6","6","6"
"IA","valvulopathie","maladie","6","6","6"
"bacille","typhode","maladie","","6",""
"IA","maladie valvulaire","maladie","6","6","6"
"SIDA","mts","maladie","6","6","6"
"syndrome d'immunodéficience acquise","mts","maladie","6","6","6"
"sida","mts","maladie","6","6","6"
"IA","dystrophie","maladie","42","6","6"
"IA","maladie de Bouillaud","maladie","42","6","6"
"SIDA","mst","maladie","6","6","6"
"syndrome d'immunodéficience acquise","mst","maladie","6","6","6"
"sida","mst","maladie","6","6","6"
"SIDA","infection","maladie","6","6","6"
"syndrome d'immunodéficience acquise","infection","maladie","6","6","6"
"sida","infection","maladie","6","6","6"
"SIDA","maladie transmissible sexuellement","maladie","6","6","6"
"syndrome d'immunodéficience acquise","maladie transmissible sexuellement","maladie","6","6","6"
"sida","maladie transmissible sexuellement","maladie","6","6","6"
"IA","insuffisance cardiaque","maladie","6","6","6"
"IA","insuffisance cardiaque","maladie","","6","6"
"IA","maladie cardiaque","maladie","6","6","6"
"bacille","fièvre typhoïde","maladie","","6",""
"SIDA","maladie transmissible","maladie","6","6","6"
"syndrome d'immunodéficience acquise","maladie transmissible","maladie","6","6","6"
"sida","maladie transmissible","maladie","6","6","6"
"SIDA","MTS","maladie","6","6","6"
"syndrome d'immunodéficience acquise","MTS","maladie","6","6","6"
"sida","MTS","maladie","6","6","6"
"IA","endocardite","maladie","42","6","6"
"SIDA","syndrome","maladie","6","6","6"
"syndrome d'immunodéficience acquise","syndrome","maladie","6","6","6"
"sida","syndrome","maladie","6","6","6"
"SIDA","pancréatite aiguë","maladie","","6","6"
"bacille","maladie des légionnaires","maladie","","6",""
"SIDA","vih","maladie","42","6","6"
"syndrome d'immunodéficience acquise","vih","maladie","42","6","6"
"sida","vih","maladie","42","6","6"
"bacille","peste bubonique","maladie","","6",""
"IA","maladie cardio-vasculaire","maladie","6","6","6"
"bacille","peste noire","maladie","","6",""
"IA","rhumatisme articulaire aigu","maladie","42","6","6"
"SIDA","maladie émergente","maladie","6","6","6"
"syndrome d'immunodéficience acquise","maladie émergente","maladie","6","6","6"
"sida","maladie émergente","maladie","6","6","6"
"SIDA","maladie contagieuse","maladie","6","6","6"
"syndrome d'immunodéficience acquise","maladie contagieuse","maladie","6","6","6"
"sida","maladie contagieuse","maladie","6","6","6"
"bacille","peste","maladie","","6",""
"bacille","botulisme","maladie","","6",""
"bacille","chancre mou","maladie","","6",""
"bacille","typhoïde","maladie","","6",""
"tailler une pipe","SIDA","maladie","","6",""
"=acute pancreatitis=","SIDA","maladie","42","6","6"
"pancréatite aigüe","SIDA","maladie","42","6","6"
"pancréatite aiguë idiopathique","SIDA","maladie","42","6","6"
"virus de l'immunodéficience humaine","SIDA","maladie","","6","6"
"pancréatite aiguë","SIDA","maladie","42","6","6"
"vih","SIDA","maladie","","6","6"
"VIH","SIDA","maladie","","6","6"
"mort","SIDA","maladie","42","6","42"
"mourir","SIDA","maladie","42","6","42"
"SIDA","maladie sexuellement transmissible","maladie","6","6","6"
"syndrome d'immunodéficience acquise","maladie sexuellement transmissible","maladie","6","6","6"
"sida","maladie sexuellement transmissible","maladie","6","6","6"
"bacille","salmonellose","maladie","","6",""
"SIDA","maladie virale","maladie","6","6","6"
"syndrome d'immunodéficience acquise","maladie virale","maladie","6","6","6"
"sida","maladie virale","maladie","6","6","6"
"bacille","légionellose","maladie","","6",""
"SIDA","épidémie","maladie","6","6","6"
"syndrome d'immunodéficience acquise","épidémie","maladie","6","6","6"
"sida","épidémie","maladie","6","6","6"
"SIDA","MST","maladie","6","6","6"
"syndrome d'immunodéficience acquise","MST","maladie","6","6","6"
"sida","MST","maladie","6","6","6"
"SIDA","maladie vénérienne","maladie","6","6","6"
"syndrome d'immunodéficience acquise","maladie vénérienne","maladie","6","6","6"
"sida","maladie vénérienne","maladie","6","6","6"
"SIDA","maladie grave","maladie","6","6","6"
"syndrome d'immunodéficience acquise","maladie grave","maladie","6","6","6"
"sida","maladie grave","maladie","6","6","6"
"SIDA","maladie chronique","maladie","6","6","6"
"syndrome d'immunodéficience acquise","maladie chronique","maladie","6","6","6"
"sida","maladie chronique","maladie","6","6","6"
"tailler une pipe","syndrome d'immunodéficience acquise","maladie","","6",""
"virus de l'immunodéficience humaine","syndrome d'immunodéficience acquise","maladie","","6","6"
"vih","syndrome d'immunodéficience acquise","maladie","","6","6"
"VIH","syndrome d'immunodéficience acquise","maladie","","6","6"
"mort","syndrome d'immunodéficience acquise","maladie","42","6","42"
"mourir","syndrome d'immunodéficience acquise","maladie","42","6","42"
"SIDA","VIH","maladie","42","6","6"
"syndrome d'immunodéficience acquise","VIH","maladie","42","6","6"
"sida","VIH","maladie","42","6","6"
"sida","VIH","maladie","6","6","6"
"SIDA","maladie mortelle","maladie","6","6","6"
"syndrome d'immunodéficience acquise","maladie mortelle","maladie","6","6","6"
"sida","maladie mortelle","maladie","6","6","6"
"Mathieu Lafourcade","fatigue","maladie","42","6","42"
"bacille","tétanos","maladie","","6",""
"bacille","tuberculose","maladie","","6",""
"SIDA","maladie infectieuse","maladie","6","6","6"
"syndrome d'immunodéficience acquise","maladie infectieuse","maladie","6","6","6"
"sida","maladie infectieuse","maladie","6","6","6"
"tailler une pipe","sida","maladie","","6",""
"virus de l'immunodéficience humaine","sida","maladie","","6","6"
"vih","sida","maladie","","6","6"
"VIH","sida","maladie","","6","6"
"éradiquer","sida","maladie","14","6","14"
"mort","sida","maladie","42","6","42"
"mourir","sida","maladie","42","6","42"
"Mathieu Lafourcade","malade","maladie","42","9","42"
"médecine","soigner","maladie","42","14","42"
"Médecine","soigner","maladie","42","14","42"
"médecine","guérir","maladie","","14","42"
"médecine","docteur","maladie","9","42","42"
"Mathieu Lafourcade","fatigue","maladie","42","42","42"
"=necatoriasis=","médecine","maladie","6","42","6"
"infection par necator","médecine","maladie","6","42","6"
"infection à necator","médecine","maladie","6","42","6"
"nécatorose","médecine","maladie","6","42","6"
"infection a necator","médecine","maladie","6","42","6"
"infections par necator","médecine","maladie","6","42","6"
"ankylostomiase à Necator americanus","médecine","maladie","6","42","6"
"nécatoriose","médecine","maladie","6","42","6"
"infections à necator","médecine","maladie","6","42","6"
"phytopathologie","médecine","maladie","6","42","6"
"infection","médecine","maladie","6","42","6"
"spondylodiscite","médecine","maladie","6","42","6"
"soigner","médecine","maladie","13","42","14"
"soigner","médecine","maladie","","42","14"
"guérir","médecine","maladie","42","42","14"
"pandiculation","médecine","maladie","17","42","42"
"soin","médecine","maladie","6","42","42"
"opération","médecine","maladie","6","42","42"
"guérir","médecine","maladie","42","42","42"
"chirurgie","médecine","maladie","6","42","42"
"se déchausser","médecine","maladie","42","42","42"
"medicament","médecine","maladie","42","42","42"
"médecin","médecine","maladie","6","42","42"
"guérison","médecine","maladie","42","42","42"
"clinique","médecine","maladie","42","42","42"
"soigner","médecine","maladie","13","42","42"
"soigner","médecine","maladie","","42","42"
"=medicament=","médecine","maladie","42","42","42"
"médicament","médecine","maladie","42","42","42"
"Chirurgie","médecine","maladie","6","42","42"
"Mathieu Lafourcade","patraque","maladie","42","42","42"
"médecine","hôpital","maladie","9","42","42"
"médecine","guérir","maladie","","42","42"
"médecine","=hospital=","maladie","9","42","42"
"médecine","hosto","maladie","9","42","42"
"médecine","hospital","maladie","9","42","42"
"mourir","Mathieu Lafourcade","maladie","13","42","42"
"bacille","mort","maladie","17","42",""
"bacille","mort","maladie","","42",""
"SIDA","mort","maladie","","42","6"
"syndrome d'immunodéficience acquise","mort","maladie","","42","6"
"sida","mort","maladie","","42","6"
"Mathieu Lafourcade","mort","maladie","17","42","42"
"médecine","se déchausser","maladie","","42","42"
"infection","Médecine","maladie","6","42","6"
"spondylodiscite","Médecine","maladie","6","42","6"
"soigner","Médecine","maladie","13","42","14"
"soigner","Médecine","maladie","","42","14"
"soin","Médecine","maladie","6","42","42"
"opération","Médecine","maladie","6","42","42"
"chirurgie","Médecine","maladie","6","42","42"
"médecin","Médecine","maladie","6","42","42"
"soigner","Médecine","maladie","13","42","42"
"soigner","Médecine","maladie","","42","42"
"Chirurgie","Médecine","maladie","6","42","42"
"médecine","medicament","maladie","","42","42"
"SIDA","mourir","maladie","","42","6"
"syndrome d'immunodéficience acquise","mourir","maladie","","42","6"
"sida","mourir","maladie","","42","6"
"médecine","guérison","maladie","","42","42"
"médecine","clinique","maladie","","42","42"
"médecine","soigner","maladie","42","42","42"
"Médecine","soigner","maladie","42","42","42"
"Mathieu Lafourcade","malade","maladie","42","42","42"
"médecine","=medicament=","maladie","","42","42"
"médecine","médicament","maladie","","42","42"
"étudier","phénomène","physique","14","17","14"
"étudier","discontinuité","physique","14","17","14"
"géologie","spéléologie","physique","6","6","6"
"spéléologie","géologie","physique","6","6","6"
"sismologie","science","physique","6","6","6"
"géologie","science","physique","6","6","6"
"physique des plasmas","science","physique","6","6","6"
"vaccin","science","physique","6","6","6"
"physique des particules","science","physique","6","6","6"
"chimie","science","physique","6","6","6"
"électronique","science","physique","6","6","6"
"étudier","science","physique","14","6","14"
"physique quantique","physique des particules","physique","9","6","6"
"=fermium=","chimie","physique","6","6","6"
"=californium=","chimie","physique","6","6","6"
"eudiométrie","chimie","physique","6","6","6"
"=lawrencium=","chimie","physique","6","6","6"
"=protactinium=","chimie","physique","6","6","6"
"niobium","chimie","physique","6","6","6"
"=vanadium=","chimie","physique","6","6","6"
"=nobelium=","chimie","physique","6","6","6"
"=niobium=","chimie","physique","6","6","6"
"électrochimie","chimie","physique","6","6","6"
"science","chimie","physique","15","6","6"
"science","chimie","physique","6","6","6"
"science","chimie","physique","9","6","6"
"californium","chimie","physique","6","6","6"
"atomique","chimie","physique","6","6","6"
"lawrencium","chimie","physique","6","6","6"
"berkélium","chimie","physique","6","6","6"
"hahnium","chimie","physique","6","6","6"
"vaccin","chimie","physique","6","6","6"
"protactinium","chimie","physique","6","6","6"
"vanadium","chimie","physique","6","6","6"
"thermochimie","chimie","physique","6","6","6"
"nobélium","chimie","physique","6","6","6"
"phosphore","chimie","physique","6","6","6"
"fermium","chimie","physique","6","6","6"
"cage","chimie","physique","6","6","6"
"électronique","chimie","physique","6","6","6"
"sciences","chimie","physique","9","6","9"
"étudier","chimie","physique","14","6","14"
"bobine","électronique","physique","6","6","6"
"étudier","sciences","physique","14","9","14"
"électronique","science","technologie","6","6","6"
"dictionnaire","électronique","technologie","17","6","6"
"électronique","microscope","technologie","6","42","6"
"Louis Lumière","pied","technologie","9","42",""
"lampadaire","lampe","fil électrique","9","9","9"
"lampadaire","lampe","fil électrique","6","9","9"
"lampe","prise","fil électrique","9","9","9"
"lumière","néon","lampe","6","6","9"
"lumi�re","lampadaire","lampe","15","6","15"
"lumière","lustre","lampe","9","6","9"
"lumi�re","gyrophare","lampe","15","9","15"
"lumi�re","lampadaire","lampe","15","9","15"
"lumi�re","maison","lampe","15","9","15"
"lampadaire","électricité","lampe","9","9","6"
"gyrophare","électricité","lampe","9","9","9"
"lampadaire","électricité","lampe","9","9","9"
"maison","électricité","lampe","9","9","9"
"véhicule","électricité","lampe","9","9","9"
"éteindre","électricité","lampe","14","9","14"
"marcher","électricité","lampe","13","9","13"
"lampe de chevet","lumière","lampe","9","9","6"
"lampe de chevet","lumière","lampe","6","9","6"
"lampe torche","lumière","lampe","6","9","6"
"torche","lumière","lampe","6","9","6"
"lampadaire","lumière","lampe","9","9","6"
"lampadaire","lumière","lampe","6","9","6"
"lustre","lumière","lampe","6","9","6"
"lampe de poche","lumière","lampe","6","9","6"
"lampe au néon","lumière","lampe","6","9","6"
"tunnel","lumière","lampe","9","9","9"
"vélo","lumière","lampe","9","9","9"
"bicyclette","lumière","lampe","9","9","9"
"=tunnel=","lumière","lampe","9","9","9"
"gyrophare","lumière","lampe","9","9","9"
"lampadaire","lumière","lampe","9","9","9"
"lampadaire","lumière","lampe","6","9","9"
"véhicule","lumière","lampe","9","9","9"
"éclairage","lumière","lampe","6","9","9"
"frotter","lumière","lampe","14","9","14"
"éteindre","lumière","lampe","14","9","14"
"allumer","lumière","lampe","14","9","14"
"éclairer","lumière","lampe","13","9","13"
"restaurant","frigidaire","réfrigérateur","9","9","9"
"électro ménager","frigidaire","réfrigérateur","9","9","9"
"électroménager","frigidaire","réfrigérateur","9","9","9"
"froid","frigidaire","réfrigérateur","42","9","9"
"froid","frigidaire","réfrigérateur","13","9","9"
"froid","frigidaire","réfrigérateur","9","9","9"
"laboratoire","frigidaire","réfrigérateur","9","9","9"
"cuisine","frigidaire","réfrigérateur","9","9","9"
"lait","frigidaire","réfrigérateur","9","9","9"
"maison","frigidaire","réfrigérateur","9","9","9"
"électro-ménager","frigidaire","réfrigérateur","9","9","9"
"ouvrir","frigidaire","réfrigérateur","14","9","14"
"ranger","frigidaire","réfrigérateur","13","9","14"
"consommer","frigidaire","réfrigérateur","14","9","14"
"fraîcheur","frigidaire","réfrigérateur","13","9","13"
"nettoyer","frigidaire","réfrigérateur","13","9","13"
"prendre","frigidaire","réfrigérateur","13","9","13"
"ranger","frigidaire","réfrigérateur","13","9","13"
"couler","frigidaire","réfrigérateur","13","9","13"
"faire du bruit","frigidaire","réfrigérateur","13","9","13"
"réfrigérer","frigidaire","réfrigérateur","13","9","13"
"geler","frigidaire","réfrigérateur","13","9","13"
"glaçon","frigidaire","réfrigérateur","13","9","13"
"surgeler","frigidaire","réfrigérateur","13","9","13"
"conserver","frigidaire","réfrigérateur","13","9","13"
"dégivrer","frigidaire","réfrigérateur","13","9","13"
"être en panne","frigidaire","réfrigérateur","13","9","13"
"décongeler","frigidaire","réfrigérateur","13","9","13"
"froid","frigidaire","réfrigérateur","42","9","13"
"froid","frigidaire","réfrigérateur","13","9","13"
"froid","frigidaire","réfrigérateur","9","9","13"
"givrer","frigidaire","réfrigérateur","13","9","13"
"stocker","frigidaire","réfrigérateur","13","9","13"
"rafraichir","frigidaire","réfrigérateur","13","9","13"
"rafraîchir","frigidaire","réfrigérateur","13","9","13"
"fonctionner","frigidaire","réfrigérateur","13","9","13"
"glace","frigidaire","réfrigérateur","13","9","13"
"garder","frigidaire","réfrigérateur","13","9","13"
"fuir","frigidaire","réfrigérateur","13","9","13"
"polluer","frigidaire","réfrigérateur","13","9","13"
"froid","frigidaire","réfrigérateur","42","9","42"
"froid","frigidaire","réfrigérateur","13","9","42"
"froid","frigidaire","réfrigérateur","9","9","42"
"frigidaire","froid","réfrigérateur","","9","9"
"frigidaire","froid","réfrigérateur","17","9","9"
"frigidaire","glaçon","réfrigérateur","9","13","9"
"frigidaire","froid","réfrigérateur","","13","9"
"frigidaire","froid","réfrigérateur","17","13","9"
"frigidaire","glace","réfrigérateur","9","13","9"
"frigidaire","froid","réfrigérateur","","42","9"
"frigidaire","froid","réfrigérateur","17","42","9"
"inventer","inventeur","télévision","13","",""
"regarder","inventeur","télévision","13","","14"
"regarder","tube de Zworykin","télévision","42","","14"
"tube de Zworykin","regarder","télévision","","14",""
"thermomètre à résistance de platine","thermomètre à résistance","thermomètre","6","6","6"
"maladie","soigner","médecine","","",""
"pandiculation","maladie","médecine","42","","17"
"soigner","maladie","médecine","42","",""
"soigner","maladie","médecine","14","",""
"phytopathologie","maladie","médecine","6","","6"
"infection","maladie","médecine","6","","6"
"infection par necator","maladie","médecine","6","","6"
"=necatoriasis=","maladie","médecine","6","","6"
"infections à necator","maladie","médecine","6","","6"
"infections par necator","maladie","médecine","6","","6"
"infection a necator","maladie","médecine","6","","6"
"ankylostomiase à Necator americanus","maladie","médecine","6","","6"
"infection à necator","maladie","médecine","6","","6"
"nécatorose","maladie","médecine","6","","6"
"nécatoriose","maladie","médecine","6","","6"
"chirurgie","maladie","médecine","42","","6"
"Chirurgie","maladie","médecine","42","","6"
"médecin","maladie","médecine","42","","6"
"spondylodiscite","maladie","médecine","6","","6"
"soin","maladie","médecine","42","","6"
"opération","maladie","médecine","42","","6"
"soigner","maladie","médecine","42","","13"
"soigner","maladie","médecine","14","","13"
"se déchausser","maladie","médecine","42","","42"
"guérir","maladie","médecine","42","","42"
"guérir","maladie","médecine","14","","42"
"medicament","maladie","médecine","42","","42"
"clinique","maladie","médecine","42","","42"
"médicament","maladie","médecine","42","","42"
"=medicament=","maladie","médecine","42","","42"
"guérison","maladie","médecine","42","","42"
"Economie","économie","médecine","6","6","6"
"soigner","vaccin","médecine","13","6",""
"soigner","vaccin","médecine","13","6","13"
"guérir","vaccin","médecine","13","6","42"
"neurophysiologie","physiologie","médecine","6","6","6"
"psychologie","neurologie","médecine","6","6","6"
"physiologie","médecine vétérinaire","médecine","6","6","6"
"génétique","médecine vétérinaire","médecine","6","6","6"
"maladie","chirurgie","médecine","","6",""
"vaccin","chirurgie","médecine","6","6","6"
"maladie","Chirurgie","médecine","","6",""
"vaccin","Chirurgie","médecine","6","6","6"
"maladie","médecin","médecine","","6",""
"maladie","soin","médecine","","6",""
"vaccin","soin","médecine","6","6","6"
"maladie","opération","médecine","","6",""
"sciences","psychologie","médecine","9","6","9"
"maladie","génétique","médecine","17","6",""
"se déchausser","génétique","médecine","42","6","42"
"maladie","soigner","médecine","","13",""
"maladie","se déchausser","médecine","","42",""
"génétique","se déchausser","médecine","","42","6"
"maladie","guérir","médecine","","42",""
"maladie","medicament","médecine","","42",""
"maladie","clinique","médecine","","42",""
"psychologie","clinique","médecine","15","42","6"
"maladie","médicament","médecine","","42",""
"vaccin","médicament","médecine","6","42","6"
"maladie","=medicament=","médecine","","42",""
"vaccin","=medicament=","médecine","6","42","6"
"maladie","guérison","médecine","","42",""
"macroéconomie","Economie","économie","6","6","6"
"économie keynésienne","Economie","économie","6","6","6"
"géopolitique","Economie","économie","6","6","6"
"macro-économie","Economie","économie","6","6","6"
"économie clandestine","Economie","économie","6","6","6"
"débat d'idées","Economie","économie","42","6","42"
"Economie","débat d'idées","économie","","42","6"
"restaurant","frigidaire","frigo","9","9","9"
"électro-ménager","frigidaire","frigo","9","9","9"
"froid","frigidaire","frigo","42","9","9"
